Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 12 2016,7:30 pm,New York Knicks,107,Toronto Raptors,118,Box Score,,19800,
Sun Nov 13 2016,3:30 pm,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,,20562,
Sun Nov 13 2016,8:00 pm,Phoenix Suns,120,Golden State Warriors,133,Box Score,,19596,
Sun Nov 13 2016,7:00 pm,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,,14432,
Sun Nov 13 2016,7:00 pm,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,,18203,
Sun Nov 13 2016,9:00 pm,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,,19362,
Mon Nov 14 2016,7:30 pm,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,,14172,
Mon Nov 14 2016,8:00 pm,Philadelphia 76ers,88,Houston Rockets,115,Box Score,,13183,
Mon Nov 14 2016,7:00 pm,Orlando Magic,69,Indiana Pacers,88,Box Score,,14825,
Mon Nov 14 2016,10:30 pm,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,,19060,
Mon Nov 14 2016,8:00 pm,Boston Celtics,105,New Orleans Pelicans,106,Box Score,,15001,
Mon Nov 14 2016,7:30 pm,Dallas Mavericks,77,New York Knicks,93,Box Score,,19812,
Mon Nov 14 2016,8:30 pm,Miami Heat,90,San Antonio Spurs,94,Box Score,,18418,
Mon Nov 14 2016,9:00 pm,Memphis Grizzlies,102,Utah Jazz,96,Box Score,,18176,
Tue Nov 15 2016,7:00 pm,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,,20562,
Tue Nov 15 2016,10:30 pm,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,,18426,
Tue Nov 15 2016,7:30 pm,Atlanta Hawks,93,Miami Heat,90,Box Score,,19600,
Tue Nov 15 2016,8:00 pm,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,10349,
Tue Nov 15 2016,10:00 pm,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,,19393,
Wed Nov 16 2016,7:30 pm,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,,14656,
