Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Mar 12 2017,3:30 pm,Chicago Bulls,80,Boston Celtics,100,Box Score,,18624,
Sun Mar 12 2017,6:00 pm,New York Knicks,112,Brooklyn Nets,120,Box Score,,17732,
Sun Mar 12 2017,9:00 pm,Cleveland Cavaliers,112,Houston Rockets,117,Box Score,,18055,
Sun Mar 12 2017,6:00 pm,Miami Heat,98,Indiana Pacers,102,Box Score,,17923,
Sun Mar 12 2017,9:30 pm,Philadelphia 76ers,118,Los Angeles Lakers,116,Box Score,,18997,
Sun Mar 12 2017,9:00 pm,Portland Trail Blazers,110,Phoenix Suns,101,Box Score,,16664,
Mon Mar 13 2017,7:00 pm,Chicago Bulls,115,Charlotte Hornets,109,Box Score,,16489,
Mon Mar 13 2017,10:30 pm,Los Angeles Lakers,101,Denver Nuggets,129,Box Score,,17344,
Mon Mar 13 2017,8:00 pm,Milwaukee Bucks,93,Memphis Grizzlies,113,Box Score,,16770,
Mon Mar 13 2017,8:00 pm,Washington Wizards,104,Minnesota Timberwolves,119,Box Score,,15747,
Mon Mar 13 2017,10:30 pm,Orlando Magic,115,Sacramento Kings,120,Box Score,,17608,
Mon Mar 13 2017,8:00 pm,Atlanta Hawks,99,San Antonio Spurs,107,Box Score,,18418,
Mon Mar 13 2017,7:30 pm,Dallas Mavericks,78,Toronto Raptors,100,Box Score,,19800,
Mon Mar 13 2017,9:00 pm,Los Angeles Clippers,108,Utah Jazz,114,Box Score,,19911,
Tue Mar 14 2017,7:30 pm,Oklahoma City Thunder,122,Brooklyn Nets,104,Box Score,,13911,
Tue Mar 14 2017,7:00 pm,Detroit Pistons,96,Cleveland Cavaliers,128,Box Score,,20562,
Tue Mar 14 2017,10:30 pm,Philadelphia 76ers,104,Golden State Warriors,106,Box Score,,19596,
Tue Mar 14 2017,8:00 pm,Portland Trail Blazers,77,New Orleans Pelicans,100,Box Score,,15530,
Tue Mar 14 2017,7:30 pm,Indiana Pacers,81,New York Knicks,87,Box Score,,18261,
Wed Mar 15 2017,7:30 pm,Minnesota Timberwolves,104,Boston Celtics,117,Box Score,,18624,
Wed Mar 15 2017,8:00 pm,Memphis Grizzlies,98,Chicago Bulls,91,Box Score,,21583,
Wed Mar 15 2017,7:30 pm,Utah Jazz,97,Detroit Pistons,83,Box Score,,14033,
Wed Mar 15 2017,8:00 pm,Los Angeles Lakers,100,Houston Rockets,139,Box Score,,18055,
Wed Mar 15 2017,7:00 pm,Charlotte Hornets,77,Indiana Pacers,98,Box Score,,14169,
