Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Feb 13 2018,8:00 pm,Cleveland Cavaliers,120,Oklahoma City Thunder,112,Box Score,,18203,
Tue Feb 13 2018,7:00 pm,Miami Heat,112,Toronto Raptors,115,Box Score,,19800,
Wed Feb 14 2018,8:00 pm,Los Angeles Clippers,129,Boston Celtics,119,Box Score,,18624,
Wed Feb 14 2018,7:30 pm,Indiana Pacers,108,Brooklyn Nets,103,Box Score,,13159,
Wed Feb 14 2018,8:00 pm,Toronto Raptors,122,Chicago Bulls,98,Box Score,,21006,
Wed Feb 14 2018,7:00 pm,Atlanta Hawks,98,Detroit Pistons,104,Box Score,,15849,
Wed Feb 14 2018,8:00 pm,Sacramento Kings,91,Houston Rockets,100,Box Score,,18055,
Wed Feb 14 2018,8:00 pm,Oklahoma City Thunder,121,Memphis Grizzlies,114,Box Score,,16012,
Wed Feb 14 2018,8:00 pm,Los Angeles Lakers,117,New Orleans Pelicans,139,Box Score,,15436,
Wed Feb 14 2018,7:30 pm,Washington Wizards,118,New York Knicks,113,Box Score,,19812,
Wed Feb 14 2018,7:00 pm,Charlotte Hornets,104,Orlando Magic,102,Box Score,,18428,
Wed Feb 14 2018,7:00 pm,Miami Heat,102,Philadelphia 76ers,104,Box Score,,20492,
Wed Feb 14 2018,10:30 pm,Golden State Warriors,117,Portland Trail Blazers,123,Box Score,,19520,
Wed Feb 14 2018,9:00 pm,Phoenix Suns,97,Utah Jazz,107,Box Score,,18306,
Thu Feb 15 2018,8:00 pm,Denver Nuggets,134,Milwaukee Bucks,123,Box Score,,15486,
Thu Feb 15 2018,9:00 pm,Los Angeles Lakers,111,Minnesota Timberwolves,119,Box Score,,17534,
Thu Feb 22 2018,8:00 pm,Philadelphia 76ers,116,Chicago Bulls,115,Box Score,,21312,
Thu Feb 22 2018,7:00 pm,Brooklyn Nets,96,Charlotte Hornets,111,Box Score,,14112,
Thu Feb 22 2018,8:00 pm,Washington Wizards,110,Cleveland Cavaliers,103,Box Score,,20562,
Thu Feb 22 2018,10:30 pm,Los Angeles Clippers,127,Golden State Warriors,134,Box Score,,19596,
Thu Feb 22 2018,7:00 pm,New York Knicks,120,Orlando Magic,113,Box Score,,18846,
Thu Feb 22 2018,10:00 pm,Oklahoma City Thunder,110,Sacramento Kings,107,Box Score,,17583,
Fri Feb 23 2018,9:00 pm,San Antonio Spurs,119,Denver Nuggets,122,Box Score,,20027,
Fri Feb 23 2018,7:00 pm,Boston Celtics,110,Detroit Pistons,98,Box Score,,20491,
Fri Feb 23 2018,8:00 pm,Minnesota Timberwolves,102,Houston Rockets,120,Box Score,,18055,
Fri Feb 23 2018,7:00 pm,Atlanta Hawks,93,Indiana Pacers,116,Box Score,,17923,
Fri Feb 23 2018,10:30 pm,Dallas Mavericks,102,Los Angeles Lakers,124,Box Score,,18997,
Fri Feb 23 2018,8:00 pm,Cleveland Cavaliers,112,Memphis Grizzlies,89,Box Score,,18119,
Fri Feb 23 2018,8:00 pm,Miami Heat,123,New Orleans Pelicans,124,Box Score,OT,17751,
Fri Feb 23 2018,9:00 pm,Los Angeles Clippers,128,Phoenix Suns,117,Box Score,,17126,
Fri Feb 23 2018,7:30 pm,Milwaukee Bucks,122,Toronto Raptors,119,Box Score,OT,20047,
Fri Feb 23 2018,9:00 pm,Portland Trail Blazers,100,Utah Jazz,81,Box Score,,18306,
Fri Feb 23 2018,7:00 pm,Charlotte Hornets,122,Washington Wizards,105,Box Score,,17824,
Sat Feb 24 2018,8:30 pm,Oklahoma City Thunder,80,Golden State Warriors,112,Box Score,,19596,
Sat Feb 24 2018,7:30 pm,Memphis Grizzlies,89,Miami Heat,115,Box Score,,19600,
Sat Feb 24 2018,9:00 pm,Chicago Bulls,104,Minnesota Timberwolves,122,Box Score,,18978,
Sat Feb 24 2018,7:30 pm,Boston Celtics,121,New York Knicks,112,Box Score,,19812,
Sat Feb 24 2018,5:00 pm,Orlando Magic,105,Philadelphia 76ers,116,Box Score,,20594,
Sat Feb 24 2018,9:00 pm,Portland Trail Blazers,106,Phoenix Suns,104,Box Score,,17112,
Sat Feb 24 2018,10:00 pm,Los Angeles Lakers,113,Sacramento Kings,108,Box Score,,17583,
Sat Feb 24 2018,9:00 pm,Dallas Mavericks,90,Utah Jazz,97,Box Score,,18306,
Sun Feb 25 2018,1:00 pm,Detroit Pistons,98,Charlotte Hornets,114,Box Score,,17894,
Sun Feb 25 2018,3:30 pm,San Antonio Spurs,110,Cleveland Cavaliers,94,Box Score,,20562,
Sun Feb 25 2018,8:00 pm,Houston Rockets,119,Denver Nuggets,114,Box Score,,20044,
Sun Feb 25 2018,3:00 pm,New Orleans Pelicans,123,Milwaukee Bucks,121,Box Score,OT,18717,
Sun Feb 25 2018,8:00 pm,Philadelphia 76ers,94,Washington Wizards,109,Box Score,,17180,
Mon Feb 26 2018,7:30 pm,Los Angeles Lakers,123,Atlanta Hawks,104,Box Score,,16328,
Mon Feb 26 2018,7:30 pm,Memphis Grizzlies,98,Boston Celtics,109,Box Score,,18624,
Mon Feb 26 2018,7:30 pm,Chicago Bulls,87,Brooklyn Nets,104,Box Score,,15081,
Mon Feb 26 2018,8:30 pm,Indiana Pacers,103,Dallas Mavericks,109,Box Score,,19536,
Mon Feb 26 2018,8:00 pm,Phoenix Suns,116,New Orleans Pelicans,125,Box Score,,14302,
Mon Feb 26 2018,7:30 pm,Golden State Warriors,125,New York Knicks,111,Box Score,,19812,
Mon Feb 26 2018,8:00 pm,Orlando Magic,105,Oklahoma City Thunder,112,Box Score,,18203,
Mon Feb 26 2018,10:00 pm,Minnesota Timberwolves,118,Sacramento Kings,100,Box Score,,17583,
Mon Feb 26 2018,7:30 pm,Detroit Pistons,94,Toronto Raptors,123,Box Score,,19800,
Mon Feb 26 2018,9:00 pm,Houston Rockets,96,Utah Jazz,85,Box Score,,18306,
Tue Feb 27 2018,7:00 pm,Chicago Bulls,103,Charlotte Hornets,118,Box Score,,14521,
Tue Feb 27 2018,7:00 pm,Brooklyn Nets,123,Cleveland Cavaliers,129,Box Score,,20562,
Tue Feb 27 2018,10:30 pm,Los Angeles Clippers,122,Denver Nuggets,120,Box Score,,15004,
Tue Feb 27 2018,7:30 pm,Philadelphia 76ers,101,Miami Heat,102,Box Score,,19600,
Tue Feb 27 2018,8:00 pm,Washington Wizards,107,Milwaukee Bucks,104,Box Score,,16093,
Tue Feb 27 2018,10:00 pm,Sacramento Kings,99,Portland Trail Blazers,116,Box Score,,19468,
Wed Feb 28 2018,7:30 pm,Indiana Pacers,102,Atlanta Hawks,107,Box Score,,13316,
Wed Feb 28 2018,7:30 pm,Charlotte Hornets,106,Boston Celtics,134,Box Score,,18624,
Wed Feb 28 2018,8:30 pm,Oklahoma City Thunder,111,Dallas Mavericks,110,Box Score,OT,20202,
Wed Feb 28 2018,7:00 pm,Milwaukee Bucks,87,Detroit Pistons,110,Box Score,,16146,
Wed Feb 28 2018,10:30 pm,Houston Rockets,105,Los Angeles Clippers,92,Box Score,,19068,
Wed Feb 28 2018,8:00 pm,Phoenix Suns,110,Memphis Grizzlies,102,Box Score,,13484,
Wed Feb 28 2018,7:00 pm,Toronto Raptors,117,Orlando Magic,104,Box Score,,17328,
Wed Feb 28 2018,8:30 pm,New Orleans Pelicans,121,San Antonio Spurs,116,Box Score,,18418,
Wed Feb 28 2018,8:00 pm,Golden State Warriors,109,Washington Wizards,101,Box Score,,20356,
