Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Jan 27 2018,8:30 pm,Boston Celtics,105,Golden State Warriors,109,Box Score,,19596,
Sat Jan 27 2018,7:00 pm,Orlando Magic,112,Indiana Pacers,114,Box Score,,17923,
Sat Jan 27 2018,7:30 pm,Charlotte Hornets,91,Miami Heat,95,Box Score,,19600,
Sat Jan 27 2018,9:00 pm,Brooklyn Nets,97,Minnesota Timberwolves,111,Box Score,,16231,
Sun Jan 28 2018,3:30 pm,Milwaukee Bucks,110,Chicago Bulls,96,Box Score,,21630,
Sun Jan 28 2018,6:00 pm,Detroit Pistons,104,Cleveland Cavaliers,121,Box Score,,20562,
Sun Jan 28 2018,3:30 pm,Phoenix Suns,102,Houston Rockets,113,Box Score,,18055,
Sun Jan 28 2018,4:00 pm,Los Angeles Clippers,112,New Orleans Pelicans,103,Box Score,,16378,
Sun Jan 28 2018,6:00 pm,Philadelphia 76ers,112,Oklahoma City Thunder,122,Box Score,,18202,
Sun Jan 28 2018,7:00 pm,Sacramento Kings,98,San Antonio Spurs,113,Box Score,,18418,
Sun Jan 28 2018,6:00 pm,Los Angeles Lakers,111,Toronto Raptors,123,Box Score,,19800,
Mon Jan 29 2018,7:30 pm,Minnesota Timberwolves,100,Atlanta Hawks,105,Box Score,,12589,
Mon Jan 29 2018,8:30 pm,Miami Heat,95,Dallas Mavericks,88,Box Score,,19555,
Mon Jan 29 2018,9:00 pm,Boston Celtics,111,Denver Nuggets,110,Box Score,,19520,
Mon Jan 29 2018,7:00 pm,Charlotte Hornets,96,Indiana Pacers,105,Box Score,,14225,
Mon Jan 29 2018,8:00 pm,Phoenix Suns,109,Memphis Grizzlies,120,Box Score,,13202,
Mon Jan 29 2018,8:00 pm,Philadelphia 76ers,95,Milwaukee Bucks,107,Box Score,,14126,
Tue Jan 30 2018,8:00 pm,Cleveland Cavaliers,114,Detroit Pistons,125,Box Score,,18508,
Tue Jan 30 2018,8:00 pm,Orlando Magic,107,Houston Rockets,114,Box Score,,18055,
