Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Dec 20 2015,1:00 pm,Minnesota Timberwolves,100,Brooklyn Nets,85,Box Score,,14552,
Sun Dec 20 2015,3:30 pm,Philadelphia 76ers,86,Cleveland Cavaliers,108,Box Score,,20562,
Sun Dec 20 2015,8:00 pm,New Orleans Pelicans,130,Denver Nuggets,125,Box Score,,13857,
Sun Dec 20 2015,1:00 pm,Portland Trail Blazers,109,Miami Heat,116,Box Score,,19600,
Sun Dec 20 2015,6:00 pm,Atlanta Hawks,103,Orlando Magic,100,Box Score,,16982,
Sun Dec 20 2015,5:00 pm,Milwaukee Bucks,101,Phoenix Suns,95,Box Score,,16859,
Sun Dec 20 2015,6:00 pm,Sacramento Kings,104,Toronto Raptors,94,Box Score,,19800,
Mon Dec 21 2015,8:00 pm,Portland Trail Blazers,97,Atlanta Hawks,106,Box Score,,18373,
Mon Dec 21 2015,7:30 pm,Minnesota Timberwolves,99,Boston Celtics,113,Box Score,,18624,
Mon Dec 21 2015,8:00 pm,Brooklyn Nets,105,Chicago Bulls,102,Box Score,,21825,
Mon Dec 21 2015,8:00 pm,Charlotte Hornets,95,Houston Rockets,102,Box Score,,18236,
Mon Dec 21 2015,10:30 pm,Oklahoma City Thunder,100,Los Angeles Clippers,99,Box Score,,19415,
Mon Dec 21 2015,7:30 pm,Orlando Magic,107,New York Knicks,99,Box Score,,19812,
Mon Dec 21 2015,8:30 pm,Indiana Pacers,92,San Antonio Spurs,106,Box Score,,18418,
Mon Dec 21 2015,9:00 pm,Phoenix Suns,89,Utah Jazz,110,Box Score,,19911,
Mon Dec 21 2015,7:00 pm,Sacramento Kings,99,Washington Wizards,113,Box Score,,15124,
Tue Dec 22 2015,9:00 pm,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,19124,
Tue Dec 22 2015,7:30 pm,Detroit Pistons,93,Miami Heat,92,Box Score,,19901,
Tue Dec 22 2015,7:00 pm,Memphis Grizzlies,104,Philadelphia 76ers,90,Box Score,,15552,
Tue Dec 22 2015,7:30 pm,Dallas Mavericks,99,Toronto Raptors,103,Box Score,,19800,
Wed Dec 23 2015,8:00 pm,Detroit Pistons,100,Atlanta Hawks,107,Box Score,,17575,
Wed Dec 23 2015,7:30 pm,Dallas Mavericks,119,Brooklyn Nets,118,Box Score,OT,15994,
Wed Dec 23 2015,7:00 pm,Boston Celtics,102,Charlotte Hornets,89,Box Score,,19082,
Wed Dec 23 2015,7:00 pm,New York Knicks,84,Cleveland Cavaliers,91,Box Score,,20562,
Wed Dec 23 2015,10:30 pm,Utah Jazz,85,Golden State Warriors,103,Box Score,,19596,
Wed Dec 23 2015,7:00 pm,Sacramento Kings,108,Indiana Pacers,106,Box Score,,18165,
Wed Dec 23 2015,10:30 pm,Oklahoma City Thunder,120,Los Angeles Lakers,85,Box Score,,18997,
Wed Dec 23 2015,8:00 pm,Philadelphia 76ers,100,Milwaukee Bucks,113,Box Score,,15754,
Wed Dec 23 2015,8:00 pm,San Antonio Spurs,108,Minnesota Timberwolves,83,Box Score,,16788,
Wed Dec 23 2015,8:00 pm,Portland Trail Blazers,89,New Orleans Pelicans,115,Box Score,,16686,
Wed Dec 23 2015,7:00 pm,Houston Rockets,101,Orlando Magic,104,Box Score,,17061,
Wed Dec 23 2015,9:00 pm,Denver Nuggets,104,Phoenix Suns,96,Box Score,,17034,
Wed Dec 23 2015,7:00 pm,Memphis Grizzlies,91,Washington Wizards,100,Box Score,,15879,
Fri Dec 25 2015,5:00 pm,Cleveland Cavaliers,83,Golden State Warriors,89,Box Score,,19596,
Fri Dec 25 2015,8:00 pm,San Antonio Spurs,84,Houston Rockets,88,Box Score,,18319,
Fri Dec 25 2015,10:30 pm,Los Angeles Clippers,94,Los Angeles Lakers,84,Box Score,,18997,
Fri Dec 25 2015,12:00 pm,New Orleans Pelicans,88,Miami Heat,94,Box Score,OT,19845,
Fri Dec 25 2015,2:30 pm,Chicago Bulls,105,Oklahoma City Thunder,96,Box Score,,18203,
Sat Dec 26 2015,7:30 pm,New York Knicks,98,Atlanta Hawks,117,Box Score,,19015,
Sat Dec 26 2015,4:00 pm,Washington Wizards,111,Brooklyn Nets,96,Box Score,,17732,
Sat Dec 26 2015,7:00 pm,Memphis Grizzlies,92,Charlotte Hornets,98,Box Score,,19091,
Sat Dec 26 2015,8:30 pm,Chicago Bulls,111,Dallas Mavericks,118,Box Score,,20392,
Sat Dec 26 2015,7:30 pm,Boston Celtics,99,Detroit Pistons,93,Box Score,,18288,
Sat Dec 26 2015,5:00 pm,Toronto Raptors,111,Milwaukee Bucks,90,Box Score,,16329,
Sat Dec 26 2015,8:00 pm,Indiana Pacers,102,Minnesota Timberwolves,88,Box Score,,15076,
Sat Dec 26 2015,7:00 pm,Houston Rockets,108,New Orleans Pelicans,110,Box Score,,18248,
Sat Dec 26 2015,7:00 pm,Miami Heat,108,Orlando Magic,101,Box Score,,18846,
Sat Dec 26 2015,9:00 pm,Philadelphia 76ers,111,Phoenix Suns,104,Box Score,,17548,
Sat Dec 26 2015,10:00 pm,Cleveland Cavaliers,76,Portland Trail Blazers,105,Box Score,,19393,
Sat Dec 26 2015,8:30 pm,Denver Nuggets,86,San Antonio Spurs,101,Box Score,,18420,
Sat Dec 26 2015,9:00 pm,Los Angeles Clippers,109,Utah Jazz,104,Box Score,,19911,
Sun Dec 27 2015,7:00 pm,New York Knicks,91,Boston Celtics,100,Box Score,,18624,
Sun Dec 27 2015,6:00 pm,Los Angeles Lakers,96,Memphis Grizzlies,112,Box Score,,18119,
Sun Dec 27 2015,7:00 pm,Denver Nuggets,112,Oklahoma City Thunder,122,Box Score,,18203,
Sun Dec 27 2015,9:00 pm,Portland Trail Blazers,98,Sacramento Kings,94,Box Score,,17317,
Mon Dec 28 2015,8:00 pm,Toronto Raptors,97,Chicago Bulls,104,Box Score,,21898,
Mon Dec 28 2015,7:00 pm,Los Angeles Lakers,98,Charlotte Hornets,108,Box Score,,19632,
Mon Dec 28 2015,8:30 pm,Milwaukee Bucks,93,Dallas Mavericks,103,Box Score,,20300,
Mon Dec 28 2015,10:30 pm,Sacramento Kings,103,Golden State Warriors,122,Box Score,,19596,
Mon Dec 28 2015,7:00 pm,Atlanta Hawks,87,Indiana Pacers,93,Box Score,,18165,
Mon Dec 28 2015,7:30 pm,Brooklyn Nets,111,Miami Heat,105,Box Score,,19975,
Mon Dec 28 2015,7:00 pm,New Orleans Pelicans,89,Orlando Magic,104,Box Score,,17606,
Mon Dec 28 2015,9:00 pm,Cleveland Cavaliers,101,Phoenix Suns,97,Box Score,,18319,
Mon Dec 28 2015,8:30 pm,Minnesota Timberwolves,95,San Antonio Spurs,101,Box Score,,18493,
Mon Dec 28 2015,9:00 pm,Philadelphia 76ers,91,Utah Jazz,95,Box Score,,19911,
Mon Dec 28 2015,7:00 pm,Los Angeles Clippers,108,Washington Wizards,91,Box Score,,20356,
Tue Dec 29 2015,9:00 pm,Cleveland Cavaliers,93,Denver Nuggets,87,Box Score,,17523,
Tue Dec 29 2015,8:00 pm,Atlanta Hawks,121,Houston Rockets,115,Box Score,,18211,
Tue Dec 29 2015,8:00 pm,Miami Heat,90,Memphis Grizzlies,99,Box Score,OT,18119,
Tue Dec 29 2015,7:30 pm,Detroit Pistons,96,New York Knicks,108,Box Score,,19812,
Tue Dec 29 2015,8:00 pm,Milwaukee Bucks,123,Oklahoma City Thunder,131,Box Score,,18203,
Wed Dec 30 2015,7:30 pm,Los Angeles Lakers,112,Boston Celtics,104,Box Score,,18624,
Wed Dec 30 2015,8:00 pm,Indiana Pacers,100,Chicago Bulls,102,Box Score,OT,22206,
Wed Dec 30 2015,7:00 pm,Los Angeles Clippers,122,Charlotte Hornets,117,Box Score,,19145,
Wed Dec 30 2015,8:30 pm,Golden State Warriors,91,Dallas Mavericks,114,Box Score,,20494,
Wed Dec 30 2015,8:00 pm,Utah Jazz,80,Minnesota Timberwolves,94,Box Score,,14326,
Wed Dec 30 2015,7:00 pm,Brooklyn Nets,93,Orlando Magic,100,Box Score,,18397,
Wed Dec 30 2015,10:00 pm,Denver Nuggets,103,Portland Trail Blazers,110,Box Score,,19393,
Wed Dec 30 2015,10:00 pm,Philadelphia 76ers,110,Sacramento Kings,105,Box Score,,17317,
Wed Dec 30 2015,8:30 pm,Phoenix Suns,79,San Antonio Spurs,112,Box Score,,18418,
Wed Dec 30 2015,7:30 pm,Washington Wizards,91,Toronto Raptors,94,Box Score,,19800,
Thu Dec 31 2015,6:00 pm,Minnesota Timberwolves,90,Detroit Pistons,115,Box Score,,15475,
Thu Dec 31 2015,7:00 pm,Golden State Warriors,114,Houston Rockets,110,Box Score,,18313,
Thu Dec 31 2015,6:00 pm,Milwaukee Bucks,120,Indiana Pacers,116,Box Score,,16348,
Thu Dec 31 2015,8:00 pm,Los Angeles Clippers,95,New Orleans Pelicans,89,Box Score,,16920,
Thu Dec 31 2015,8:00 pm,Phoenix Suns,106,Oklahoma City Thunder,110,Box Score,,18203,
Thu Dec 31 2015,9:00 pm,Portland Trail Blazers,96,Utah Jazz,109,Box Score,,19380,
