,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
676,2016-11-02,10:30 pm,Oklahoma City Thunder,85,Los Angeles Clippers,83,0,19060,regular_season,Oklahoma City Thunder at Los Angeles Clippers
678,2016-11-02,7:30 pm,Houston Rockets,118,New York Knicks,99,0,19812,regular_season,Houston Rockets at New York Knicks
682,2016-11-03,8:00 pm,Boston Celtics,122,Cleveland Cavaliers,128,0,20562,regular_season,Boston Celtics at Cleveland Cavaliers
683,2016-11-03,10:30 pm,Oklahoma City Thunder,96,Golden State Warriors,122,0,19596,regular_season,Oklahoma City Thunder at Golden State Warriors
684,2016-11-03,8:00 pm,Indiana Pacers,107,Milwaukee Bucks,125,0,11374,regular_season,Indiana Pacers at Milwaukee Bucks
685,2016-11-03,8:00 pm,Denver Nuggets,102,Minnesota Timberwolves,99,0,11219,regular_season,Denver Nuggets at Minnesota Timberwolves
686,2016-11-03,7:00 pm,Sacramento Kings,94,Orlando Magic,102,0,17026,regular_season,Sacramento Kings at Orlando Magic
693,2016-11-04,7:30 pm,Miami Heat,87,Toronto Raptors,96,0,19800,regular_season,Miami Heat at Toronto Raptors
695,2016-11-04,7:00 pm,Atlanta Hawks,92,Washington Wizards,95,0,14663,regular_season,Atlanta Hawks at Washington Wizards
694,2016-11-04,9:00 pm,San Antonio Spurs,100,Utah Jazz,86,0,19911,regular_season,San Antonio Spurs at Utah Jazz
692,2016-11-04,8:00 pm,Phoenix Suns,112,New Orleans Pelicans,111,1,15379,regular_season,Phoenix Suns at New Orleans Pelicans
690,2016-11-04,10:30 pm,Golden State Warriors,97,Los Angeles Lakers,117,0,18997,regular_season,Golden State Warriors at Los Angeles Lakers
689,2016-11-04,8:30 pm,Portland Trail Blazers,105,Dallas Mavericks,95,0,19475,regular_season,Portland Trail Blazers at Dallas Mavericks
688,2016-11-04,8:00 pm,New York Knicks,117,Chicago Bulls,104,0,22376,regular_season,New York Knicks at Chicago Bulls
687,2016-11-04,7:30 pm,Charlotte Hornets,99,Brooklyn Nets,95,0,15775,regular_season,Charlotte Hornets at Brooklyn Nets
691,2016-11-04,8:00 pm,Los Angeles Clippers,99,Memphis Grizzlies,88,0,17115,regular_season,Los Angeles Clippers at Memphis Grizzlies
696,2016-11-05,7:30 pm,Houston Rockets,97,Atlanta Hawks,112,0,16895,regular_season,Houston Rockets at Atlanta Hawks
697,2016-11-05,7:00 pm,Denver Nuggets,86,Detroit Pistons,103,0,16218,regular_season,Denver Nuggets at Detroit Pistons
698,2016-11-05,7:00 pm,Chicago Bulls,94,Indiana Pacers,111,0,17020,regular_season,Chicago Bulls at Indiana Pacers
699,2016-11-05,8:00 pm,Sacramento Kings,91,Milwaukee Bucks,117,0,16021,regular_season,Sacramento Kings at Milwaukee Bucks
